epoch,loss,val_loss
0,139.460251282,97.6830295381
1,91.7674648496,73.4898482126
2,78.9293905947,68.3888701484
3,72.0746864159,65.0954203227
4,67.3595648559,63.3334084465
5,63.8839298712,61.2169794355
6,61.0487184142,59.9648846218
7,58.322967431,58.0077620915
8,55.6512980689,57.4461621481
9,53.498272667,56.4458764091
10,51.4753103202,55.2877130963
11,49.7315946818,54.7711362687
12,47.7307665623,54.0373149145
13,45.9178135348,53.1475975097
14,44.2783294122,53.2052750058
15,42.6037923994,52.8237404293
16,41.0191571231,52.9395174753
17,39.6323564021,52.9046759832
18,38.3141212257,52.3776506394
19,37.0593092534,52.1789705186
20,35.8184689413,53.1092266204
21,34.7481489952,52.91220447
22,33.6165791408,52.8285058339
23,32.6041681507,52.4759602017
24,31.6307638315,52.2919472286
